# Table 3. Example estimated water characteristic values for texture classes at
# 2.5%w organic matter (OM), no salinity, gravel or density adjustment.
TextureClass;Sand;Clay;WiltingPoint;FieldCapacity;Saturation;PlantAvailability;SaturatedConductivity;MatricDensity
# none %w %w %v %v %v %v mm.h-1 g.cm-3
Sa;88;5;5;10;46;5;108.1;1.43
LSa;80;5;5;12;46;7;96.7;1.43
SaL;65;10;8;18;45;10;50.3;1.46
L;40;20;14;28;46;14;15.5;1.43
SiL;20;15;11;31;48;20;16.1;1.38
Si;10;5;6;30;48;25;22.0;1.38
SaCL;60;25;17;27;43;10;11.3;1.50
CL;30;35;22;36;48;14;4.3;1.39
SiCL;10;35;22;38;51;17;5.7;1.30
SiC;10;45;27;41;52;14;3.7;1.26
SaC;50;40;25;36;44;11;1.4;1.47
C;25;50;30;42;50;12;1.1;1.33
